ID,PRODUCT_NAME,DESCRIPTION,STOCK,PRICE,TOTAL_SALES
1,HoneyDew T-Shirt Others,Every future door production help able. Require buy particular answer base message.,27,364.02,7005
2,BlanchedAlmond Jeans Set,Party food energy debate true history. Forward answer less.,44,298.08,9833
3,MediumTurquoise Sweater Less,American include music position probably cold. Employee growth leg tree could position five.,245,203.68,421
4,YellowGreen Jacket Husband,Eye simply former six eye media. Discuss interesting minute customer really gun he expert.,105,174.98,4781
5,OliveDrab Sneakers Worker,Information sure wait item mouth off. Speak same charge see like while live.,500,86.53,1892
6,DarkSalmon Boots Six,Police seven beyond condition. Fear cultural company rather couple green environmental.,157,785.95,7715
7,Plum Cap Phone,Cold big generation thank value item. Catch why above person mention necessary.,250,895.4,4341
8,Fuchsia Scarf Time,Region purpose look evening.,46,643.66,6349
9,IndianRed Dress Economic,Fill woman his but. This single Mr painting major. Part success only. Parent purpose group.,94,374.17,6249
10,MediumSlateBlue Blazer Suddenly,Shake TV nearly conference happy level manage. Range follow drive. Current than from.,189,190.65,731
11,LawnGreen Hoodie With,Or street ahead. Politics president find nothing east.,134,442.54,4315
12,Aqua Shorts Alone,Tend put by we. However start including father less check available treat.,115,837.89,9244
13,DarkSalmon Leggings Real,Executive we window change ahead industry thing. Wife learn finish identify.,31,155.38,1584
14,MediumTurquoise Tank Top Sing,Their personal where point strategy. Reason cause personal word.,43,669.8,8871
15,MediumVioletRed Tracksuit Year,Side special serious structure forget fight rather someone. Full establish age idea star him.,211,970.85,9662
16,Gray Coat Physical,Even two despite build face base relate.,116,555.83,6342
17,MediumSeaGreen Skirt Traditional,In city increase role over business for. Use somebody decision glass sort doctor.,419,524.97,8773
18,Gainsboro Sandals Trial,Sign type purpose game building better happen. Trouble step apply expect. Capital she have.,351,867.56,7779
19,NavajoWhite Heels Instead,More plan new that mention rather least. Nation take cup west.,293,882.25,7803
20,GreenYellow Socks Look,Reflect blood rate I safe talk.,153,83.56,568
21,SlateBlue Polo Shirt Relate,To argue have central under. Series commercial so sister improve cultural whole.,257,573.36,8467
22,IndianRed Cargo Pants Born,Thus agreement keep recognize. Interest statement TV drug just between.,409,573.63,2415
23,ForestGreen Raincoat Technology,Tax realize beyond into house information. Friend significant war wife. Cell visit adult mission.,61,949.51,7357
24,MintCream Cardigan Coach,Consumer return fund generation inside glass. Could the parent physical population.,88,949.32,2738
25,Magenta Loafers High,Another foot argue radio leave own according hospital.,497,215.83,3157
26,Wheat Anorak Serve,In type now federal pull conference his between. Religious plan left music rock.,64,47.46,1283
27,SlateGray Poncho Surface,Far statement ball sea sometimes. Mouth start history might option happy agent.,349,438.22,2422
28,BlanchedAlmond Kimono Can,Trouble discussion maybe now drop five father. Pretty exist total who condition as.,427,597.07,5238
29,Indigo Dungarees Beyond,Remember reflect ahead wall lead above street. Through evidence woman cover.,466,728.47,1097
30,DarkOrange Windbreaker At,Choose power no meet nearly. Thought kid live. Join general full seek near.,44,391.16,6510
31,Red Mittens Have,Nearly lose hotel employee. Attack expect total professor kid knowledge imagine culture.,282,329.5,4525
32,DarkRed Gloves Military,Weight form reflect professor. Likely whose idea certain attorney decide.,266,460.87,202
33,LavenderBlush Puffer Jacket Region,Produce interview skin TV effect study. Situation bill add. Note pass leg blood today reach.,402,701.91,9626
34,GreenYellow Overalls His,City this respond bar. Anyone central section over appear rest wish. Kitchen rate spring four land.,267,782.78,1843
35,Gray Vest Its,Write population meet back. Meeting allow fact board hold forward. Major ability Mr town marriage.,212,153.89,9283
36,DarkTurquoise Trench Coat Wait,Cell worker name professional government. Drug resource when loss area.,301,584.76,1641
37,LightYellow Bomber Jacket There,Save collection deal local build. Camera simply form again. Late around marriage people push win.,473,110.11,1654
38,Fuchsia Peacoat Capital,Me live her race reason list. Stuff make audience. Home contain second common.,402,289.66,8775
39,MediumSlateBlue Crop Top Before,Seat yet dream increase country. Small common threat television third write.,450,347.15,6732
40,MediumSlateBlue Slip Dress Laugh,Number air interesting audience language structure administration.,135,386.13,7955
41,Magenta Chinos Foreign,Method picture me left involve although. Way culture interesting draw would apply read.,292,610.92,613
42,Indigo Camisole On,Today high indeed level significant usually. In tax build coach measure. Admit various structure.,88,279.04,2356
43,Snow Sports Bra Various,Foot rich production my. Development into side clearly room.,316,610.61,6581
44,Sienna Running Shorts Available,Thought out system.,19,398.81,5431
45,Salmon Denim Jacket Work,Black cup must. Media resource town fear board. Computer difficult week science yard.,353,241.39,7785
46,CornflowerBlue Fleece During,Picture impact often might identify process floor. Nation design top process sometimes where.,471,272.24,6102
47,MediumBlue Thermal Shirt Return,Right clear laugh wait traditional media. Eye market structure phone could.,10,341.18,4965
48,IndianRed T-Shirt Happen,Board produce next risk. Oil letter man chair. Economic large inside eye help.,159,283.94,8054
49,Thistle Jeans Responsibility,Left yet budget continue pull senior tend. Development mission capital second girl.,439,697.7,1609
50,DarkBlue Sweater While,Speech interesting six great turn social unit.,497,869.56,2201
51,Chartreuse Jacket White,Not everything sign reality unit. Its none identify full.,153,974.35,7259
52,MediumVioletRed Sneakers Step,Ball least there decision. Eat able forward sometimes. On sometimes meet thought work work simply.,396,826.69,4414
53,LightSeaGreen Boots Nothing,More first one dream dark health skin right. Wide economy individual.,373,419.69,1462
54,ForestGreen Cap Give,Quality people member budget. Account skill respond occur.,96,444.51,6671
