ID,PRODUCT_NAME,DESCRIPTION,STOCK,PRICE,TOTAL_SALES
0,Jacket,Score each cause. Quality throughout beautiful instead. Despite measure ago current.,327,64.55,4506
1,Sweater,Stop peace technology officer relate. Product significant world. Term herself law street class.,125,119.37,1679
2,Blazer,Then fire pretty how trip learn enter. Seat much section investment on.,346,372.93,8935
3,Sneakers,Seem shoulder future fall citizen about reveal. Will seven medical blood personal.,44,299.34,520
4,Boots,She campaign little near enter their institution. Up sense ready require human.,15,55.91,3811
5,Hoodie,Best issue interest level. Pull worker better.,258,304.99,9195
6,Dress,Magazine degree husband around her world. Unit size expect recent room.,101,360.85,8928
7,Skirt,Price north first end prove fire. How public feel first sell. Leader your you. Mrs media car give.,214,118.02,9654
8,Shirt,Choice example decision garden reach table measure. Town suffer begin interest everybody.,142,406.62,106
9,Pants,Away third tough nation.,388,404.85,6924
10,Shorts,Agent say forward us soon ten. Environment skin blue the teach.,174,146.16,3527
11,Jeans,Go meeting quickly such former. Boy wife condition.,490,384.11,1674
12,Top,Mind southern rather. Hair attorney professional form finish. Rest feel finally impact.,47,196.16,5881
13,Coat,List top somebody college be middle plan. Behavior weight dog financial southern challenge.,433,178.54,4333
14,Scarf,Imagine my indeed deal information toward. Watch affect thing offer local wall fear hope.,413,31.29,7527
15,Cap,Here deep force seven here.,274,71.16,6201
16,Socks,Record short cold parent security boy standard. Blue agent find quality when.,40,280.5,5925
17,Heels,Something future they red everybody act. Beat result major serve real.,295,104.22,1139
18,Sandals,Right with modern executive beyond. Fast guess few remain call. Window network recently.,23,334.02,4741
19,Leggings,Yes budget share paper. Difficult mission late kind team wrong figure perform.,40,429.11,1654
20,Gloves,Society organization station TV. Buy read record wall matter management.,194,146.21,5977
21,Mittens,Like prepare trouble consider.,83,191.39,3432
22,Poncho,Gun series personal service data near until. Thing machine ahead picture son report.,343,140.82,1169
23,Cardigan,Who call whole forward beyond suddenly between. Address century that wide avoid sit enter.,311,321.14,8751
24,Tunic,War write federal while real lead. Current his low down occur.,373,129.96,7573
25,Tracksuit,Best physical always small almost half capital travel. Section compare car much will most.,194,142.27,9125
26,Vest,Break doctor Mr home he we recent. Industry score choice increase between majority impact.,112,345.46,916
27,Kimono,Benefit school speech news only no. Prove improve them wait institution trouble.,117,412.68,5168
28,Overalls,Glass news boy everything. Southern suddenly window stand party.,205,141.19,3456
29,Loafers,Second Democrat information game.,467,472.03,5155
30,Polo,Main project animal house out account feeling deep. Share face build market.,108,331.16,6482
31,Anorak,Week physical less nor. Large under north play person ten physical character.,452,458.13,7517
32,Tanktop,Order his oil west school American training occur. Focus little character artist billion.,73,139.79,4040
33,Tuxedo,Improve put down. Particular sell six doctor dream whole. Tough create question now key show sing.,381,285.07,4304
34,Belt,Us increase how hear history bank. Agreement us stuff practice social. Although true line story.,382,296.45,9560
35,Wrap,Ability good number cost property model. Attack moment medical write never hospital.,204,187.38,2266
36,Fleece,Join hundred keep what fund cost. Happen something entire bar interesting issue yet.,260,251.82,771
37,Peacoat,Provide image message seek. Well central parent sit. Attack sing hand him.,440,63.73,2621
38,Blouse,Simple region Democrat partner really. Customer career available common require young specific.,405,343.44,9771
39,Waders,Each southern image law read citizen indeed. Daughter parent fine responsibility safe team wish.,32,198.54,9763
40,Coveralls,Spend value return couple. Marriage method material final. War measure whom Democrat.,239,269.27,9064
41,Slippers,Relate real major look night. Explain of myself time house.,440,471.79,1876
42,Camisole,Movement rich view tree company. Value already structure small. View while unit theory.,349,443.55,4371
43,Romper,Whatever long lawyer writer health. Tree serious soon stay seven quite other.,393,324.07,1827
44,Windbreaker,Conference career political role white hear. Large true help bag who themselves.,150,223.03,7433
45,Gown,Here discover leave choice country themselves she. Special information she. Drive attack order.,1,477.37,4315
46,Bodysuit,Source onto provide describe decade. Field training deep couple scientist section.,497,255.29,2927
47,Thermals,Ten scientist administration network once result far.,259,457.19,4889
48,Raincoat,True my politics arrive. Stuff avoid stand. Share include successful.,430,323.09,9977
49,Tee,Within admit spend purpose south travel blood. Modern drive people education.,101,84.89,2646
